BJD - 2454833, Corrected Flux
2325.489808078, 0.994084263,
2325.510239971, 0.994179435,
2325.530671764, 0.994314352,
2325.551103457, 0.994532434,
2325.571535350, 0.994884251,
2325.591967142, 0.994595202,
2325.612398834, 0.994691242,
2325.632830725, 0.994547729,
2325.653262517, 0.994326713,
2325.694126099, 0.994279783,
2325.714557889, 0.994512081,
2325.734989780, 0.994749096,
2325.755421470, 0.994333977,
2325.775853260, 0.994479359,
2325.796285150, 0.994071307,
2325.816716839, 0.994012136,
2325.837148628, 0.994125857,
2325.857580517, 0.994311819,
2325.878012306, 0.994321747,
2325.898443994, 0.994476936,
2325.918875882, 0.994036213,
2325.939307670, 0.994072062,
2325.959739358, 0.994199521,
2325.980171245, 0.994471852,
2326.000603032, 0.994729441,
2326.021034719, 0.994607106,
2326.041466606, 0.994142506,
2326.061898392, 0.994460226,
2326.082330278, 0.994507889,
2326.102761964, 0.994640697,
2326.123193750, 0.994636654,
2326.143625535, 0.994567828,
2326.204920890, 0.994739866,
2326.225352674, 0.994530337,
2326.245784458, 0.994955973,
2326.266216242, 0.994715898,
2326.286648026, 0.994753028,
2326.307079809, 0.994873083,
2326.327511593, 0.994664555,
2326.347943375, 0.994934008,
2326.368375158, 0.994528808,
2326.388807041, 0.994761790,
2326.409238723, 0.994744494,
2326.429670605, 0.994732784,
2326.450102386, 0.995075735,
2326.470534068, 0.995390589,
2326.490965949, 0.995140565,
2326.511397730, 0.994971966,
2326.531829411, 0.994826689,
2326.552261291, 0.995144843,
2326.572693072, 0.995064857,
2326.593124752, 0.995152981,
2326.613556631, 0.994906229,
2326.633988411, 0.994352644,
2326.654420090, 0.994630272,
2326.674851969, 0.995057428,
2326.695283748, 0.994595854,
2326.715715526, 0.994691388,
2326.736147305, 0.994460888,
2326.756579083, 0.994909469,
2326.777010860, 0.994849641,
2326.797442638, 0.994520620,
2326.817874416, 0.994461403,
2326.838306292, 0.994761033,
2326.858737969, 0.994798282,
2326.879169746, 0.994680208,
2326.920033299, 0.994886736,
2326.940465074, 0.994373476,
2326.960896950, 0.994942141,
2326.981328625, 0.994722087,
2327.001760401, 0.994730577,
2327.022192276, 0.994792542,
2327.042623950, 0.995006475,
2327.063055725, 0.994778760,
2327.083487599, 0.995155863,
2327.103919273, 0.995271272,
2327.124351047, 0.995031416,
2327.144782920, 0.994885890,
2327.165214593, 0.994896775,
2327.185646466, 0.994852202,
2327.206078239, 0.994899708,
2327.226510012, 0.994517439,
2327.246941784, 0.994695849,
2327.267373556, 0.994408703,
2327.287805328, 0.994405738,
2327.308237100, 0.995149501,
2327.328668871, 0.994492718,
2327.349100642, 0.995164523,
2327.369532513, 0.994765303,
2327.410395954, 0.994835279,
2327.430827824, 0.994852487,
2327.451259494, 0.994673793,
